scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Melanitta americana,black scoter,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,1,-68.3025,44.2373
Melanitta americana,black scoter,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,6,-68.0454782,44.3386398
Melanitta americana,black scoter,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130592164,NA,NA,eBird,S130592164,5,-68.0603456,44.3324746
Melanitta americana,black scoter,Aves,Birds,2023-03-09,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130539575,NA,NA,eBird,S130539575,7,-68.1873536,44.3231322
Melanitta americana,black scoter,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,2,-68.0469131,44.359574
Poecile atricapillus,black-capped chickadee,Aves,Birds,2023-03-07,Acadia NP--Beech Mtn./Beech Cliff Trails,NA,NA,NA,NA,https://ebird.org/checklist/S130404406,NA,NA,eBird,S130404406,1,-68.3434689,44.3146368
Poecile atricapillus,black-capped chickadee,Aves,Birds,2023-03-05,"Ocean Drive, Acadia National Park",NA,NA,NA,NA,https://ebird.org/checklist/S130292045,NA,NA,eBird,S130292045,1,-68.1868172,44.3243393
Poecile atricapillus,black-capped chickadee,Aves,Birds,2023-03-05,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130237313,NA,NA,eBird,S130237313,1,-68.1873536,44.3231322
Poecile atricapillus,black-capped chickadee,Aves,Birds,2023-03-05,Acadia NP--Gorham Mtn.,NA,NA,NA,NA,https://ebird.org/checklist/S130228170,NA,NA,eBird,S130228170,2,-68.1930828,44.328269
Poecile atricapillus,black-capped chickadee,Aves,Birds,2023-03-05,"RA Corner Sound Drive, Mount Desert, Maine, US (44.365, -68.308)",NA,NA,NA,NA,https://ebird.org/checklist/S130209641,NA,NA,eBird,S130209641,5,-68.308221,44.3645126
